Date,open,high,low,close,tick_volume
2023-01-09 03:30:00,1.06626,1.06697,1.06602,1.06692,953
2023-01-09 03:45:00,1.06693,1.06719,1.06664,1.06667,983
2023-01-09 04:00:00,1.06667,1.06739,1.06663,1.06734,827
2023-01-09 04:15:00,1.06731,1.06737,1.06699,1.067,703
2023-01-09 04:30:00,1.06701,1.06749,1.06691,1.0673300000000001,820
2023-01-09 04:45:00,1.0673300000000001,1.0677699999999999,1.06723,1.0677,875
2023-01-09 05:00:00,1.06769,1.06769,1.06683,1.06699,909
2023-01-09 05:15:00,1.06696,1.06725,1.0667,1.06718,882
2023-01-09 05:30:00,1.06719,1.0675,1.06695,1.06721,658
2023-01-09 05:45:00,1.06721,1.06729,1.06659,1.06675,511
2023-01-09 06:00:00,1.06673,1.06742,1.06667,1.06731,422
2023-01-09 06:15:00,1.06731,1.06761,1.06726,1.06753,331
2023-01-09 06:30:00,1.06753,1.0677,1.0674,1.06764,465
2023-01-09 06:45:00,1.06768,1.06784,1.06752,1.06766,307
2023-01-09 07:00:00,1.06765,1.06775,1.06731,1.06742,482
2023-01-09 07:15:00,1.06743,1.0681,1.06736,1.06796,530
2023-01-09 07:30:00,1.06796,1.0682,1.06761,1.0679,505
2023-01-09 07:45:00,1.06791,1.06831,1.06764,1.06772,795
2023-01-09 08:00:00,1.06772,1.06804,1.06767,1.06802,696
2023-01-09 08:15:00,1.06802,1.06863,1.0679,1.06793,737
2023-01-09 08:30:00,1.0679400000000001,1.06806,1.06756,1.06793,616
2023-01-09 08:45:00,1.0679,1.06833,1.0677,1.06818,745
2023-01-09 09:00:00,1.06819,1.06892,1.06799,1.06875,1648
2023-01-09 09:15:00,1.06876,1.06949,1.06759,1.06779,1639
2023-01-09 09:30:00,1.06779,1.06797,1.06683,1.06735,2158
2023-01-09 09:45:00,1.06736,1.06786,1.06685,1.0673300000000001,1701
2023-01-09 10:00:00,1.0673300000000001,1.06959,1.06725,1.06927,2261
2023-01-09 10:15:00,1.06922,1.0698,1.06827,1.0691,2055
2023-01-09 10:30:00,1.06909,1.06955,1.0688900000000001,1.06952,1780
2023-01-09 10:45:00,1.06953,1.06997,1.06875,1.06904,1657
2023-01-09 11:00:00,1.06904,1.06936,1.06752,1.06759,1979
2023-01-09 11:15:00,1.0676,1.06812,1.0673300000000001,1.06779,1420
2023-01-09 11:30:00,1.06779,1.06788,1.06686,1.0671,1410
2023-01-09 11:45:00,1.06709,1.06772,1.06599,1.06724,1692
2023-01-09 12:00:00,1.06727,1.06734,1.06634,1.06649,1558
2023-01-09 12:15:00,1.06649,1.06669,1.06614,1.06647,1234
2023-01-09 12:30:00,1.06647,1.06766,1.06644,1.06729,1337
2023-01-09 12:45:00,1.0673,1.06742,1.06668,1.0669,1478
2023-01-09 13:00:00,1.06693,1.06844,1.06675,1.06811,1552
2023-01-09 13:15:00,1.06809,1.0685,1.0676,1.06837,1253
2023-01-09 13:30:00,1.06841,1.06841,1.06748,1.06815,1175
2023-01-09 13:45:00,1.06815,1.06857,1.06804,1.06843,1000
2023-01-09 14:00:00,1.06839,1.0687,1.06824,1.06832,990
2023-01-09 14:15:00,1.06832,1.06888,1.06809,1.06878,1101
2023-01-09 14:30:00,1.06878,1.06929,1.06862,1.06893,1109
2023-01-09 14:45:00,1.06893,1.06937,1.06842,1.0688900000000001,1228
2023-01-09 15:00:00,1.0688900000000001,1.06977,1.06853,1.06958,1629
2023-01-09 15:15:00,1.06954,1.07226,1.0695000000000001,1.07186,2248
2023-01-09 15:30:00,1.07186,1.07319,1.07178,1.07205,2142
2023-01-09 15:45:00,1.07206,1.07264,1.07169,1.07252,2090
2023-01-09 16:00:00,1.07253,1.0732,1.07211,1.0722,1913
2023-01-09 16:15:00,1.07222,1.0723,1.07115,1.07169,1963
2023-01-09 16:30:00,1.07166,1.0722,1.07123,1.07159,2510
2023-01-09 16:45:00,1.0716,1.07383,1.07144,1.07282,2577
2023-01-09 17:00:00,1.07282,1.07398,1.07278,1.07346,2001
2023-01-09 17:15:00,1.07346,1.07462,1.07345,1.07452,2222
2023-01-09 17:30:00,1.07452,1.07492,1.07434,1.07464,2365
2023-01-09 17:45:00,1.07464,1.07493,1.074,1.07403,2191
2023-01-09 18:00:00,1.07403,1.07491,1.07402,1.07479,2121
2023-01-09 18:15:00,1.0748199999999999,1.07491,1.07437,1.07473,1698
2023-01-09 18:30:00,1.07475,1.07489,1.0745,1.07483,1489
2023-01-09 18:45:00,1.07483,1.07607,1.07439,1.07582,2181
2023-01-09 19:00:00,1.07582,1.07601,1.07463,1.07504,1728
2023-01-09 19:15:00,1.07504,1.07517,1.07399,1.07441,1525
2023-01-09 19:30:00,1.07441,1.0748,1.07418,1.07428,1413
2023-01-09 19:45:00,1.07426,1.07508,1.07419,1.07503,1198
2023-01-09 20:00:00,1.07503,1.07542,1.07461,1.0749900000000001,894
2023-01-09 20:15:00,1.07497,1.07504,1.0746,1.07493,907
2023-01-09 20:30:00,1.07493,1.07537,1.07418,1.07422,1399
2023-01-09 20:45:00,1.07423,1.0743800000000001,1.0737700000000001,1.07433,1285
2023-01-09 21:00:00,1.07431,1.0748199999999999,1.07415,1.07454,1508
2023-01-09 21:15:00,1.07453,1.075,1.07437,1.07491,1428
2023-01-09 21:30:00,1.07488,1.07519,1.07455,1.07474,1054
2023-01-09 21:45:00,1.07472,1.07529,1.0745,1.07518,923
2023-01-09 22:00:00,1.07518,1.07539,1.0742099999999999,1.07433,1534
2023-01-09 22:15:00,1.07432,1.07484,1.0743,1.07445,1372
2023-01-09 22:30:00,1.07447,1.07453,1.0737,1.07412,1494
2023-01-09 22:45:00,1.07413,1.07419,1.07305,1.07311,2008
2023-01-09 23:00:00,1.07311,1.07353,1.07309,1.07317,439
2023-01-09 23:15:00,1.07317,1.07336,1.07301,1.0733,347
2023-01-09 23:30:00,1.0733,1.07347,1.07311,1.07332,424
2023-01-09 23:45:00,1.07331,1.07339,1.07313,1.07318,456
2023-01-10 00:00:00,1.07293,1.0732,1.07243,1.07269,227
2023-01-10 00:15:00,1.07269,1.07287,1.07261,1.07284,675
2023-01-10 00:30:00,1.07287,1.0731600000000001,1.07276,1.07295,458
2023-01-10 00:45:00,1.07303,1.07315,1.07282,1.07315,435
2023-01-10 01:00:00,1.07315,1.0738,1.07272,1.07327,985
2023-01-10 01:15:00,1.07327,1.07338,1.07297,1.07319,343
2023-01-10 01:30:00,1.07319,1.07344,1.07306,1.07312,322
2023-01-10 01:45:00,1.07312,1.07353,1.07308,1.07325,183
2023-01-10 02:00:00,1.07324,1.07382,1.07274,1.07304,758
2023-01-10 02:15:00,1.07304,1.07312,1.07204,1.07229,1137
2023-01-10 02:30:00,1.07226,1.07243,1.07222,1.07226,654
2023-01-10 02:45:00,1.07227,1.07289,1.07223,1.07275,1018
2023-01-10 03:00:00,1.07274,1.07311,1.07259,1.07273,706
2023-01-10 03:15:00,1.07273,1.07371,1.07268,1.07356,639
2023-01-10 03:30:00,1.07354,1.07392,1.07335,1.07366,818
2023-01-10 03:45:00,1.07367,1.07397,1.07332,1.07362,787
2023-01-10 04:00:00,1.07362,1.0742,1.07325,1.07398,751
2023-01-10 04:15:00,1.07399,1.07425,1.07309,1.07312,647
2023-01-10 04:30:00,1.07311,1.0733,1.07212,1.07243,1223
2023-01-10 04:45:00,1.07243,1.0731600000000001,1.07231,1.07308,929
2023-01-10 05:00:00,1.07311,1.07331,1.07257,1.07273,607
2023-01-10 05:15:00,1.07274,1.07328,1.07267,1.07328,520
2023-01-10 05:30:00,1.07328,1.07343,1.07285,1.07323,608
2023-01-10 05:45:00,1.07323,1.07333,1.073,1.07324,462
2023-01-10 06:00:00,1.07325,1.07341,1.0728,1.07291,489
2023-01-10 06:15:00,1.07291,1.07313,1.07282,1.07309,337
2023-01-10 06:30:00,1.07308,1.07336,1.07294,1.07306,330
2023-01-10 06:45:00,1.07308,1.07323,1.07284,1.07307,282
2023-01-10 07:00:00,1.07307,1.07369,1.07295,1.07352,444
2023-01-10 07:15:00,1.0735,1.07416,1.07347,1.07397,663
2023-01-10 07:30:00,1.07398,1.07441,1.07388,1.07424,518
2023-01-10 07:45:00,1.07427,1.07441,1.07396,1.07427,676
2023-01-10 08:00:00,1.0743,1.07434,1.0737,1.07375,547
2023-01-10 08:15:00,1.0737700000000001,1.07406,1.07358,1.07362,569
2023-01-10 08:30:00,1.07362,1.07364,1.07312,1.07333,799
2023-01-10 08:45:00,1.07332,1.07352,1.07262,1.07341,930
2023-01-10 09:00:00,1.07346,1.07375,1.07267,1.07293,1789
2023-01-10 09:15:00,1.07292,1.07327,1.07222,1.07247,1561
2023-01-10 09:30:00,1.07246,1.0735,1.07242,1.07345,1233
2023-01-10 09:45:00,1.07345,1.07397,1.07263,1.07318,1605
2023-01-10 10:00:00,1.07318,1.07424,1.07313,1.07392,1825
2023-01-10 10:15:00,1.07392,1.07443,1.07361,1.07393,1729
2023-01-10 10:30:00,1.0739,1.07473,1.07352,1.07368,1532
2023-01-10 10:45:00,1.07369,1.07402,1.07321,1.07386,1287
2023-01-10 11:00:00,1.07385,1.07386,1.07296,1.07309,1591
2023-01-10 11:15:00,1.0731,1.07491,1.07307,1.07477,1353
2023-01-10 11:30:00,1.07477,1.07518,1.07369,1.0737,1320
2023-01-10 11:45:00,1.07371,1.07473,1.0735999999999999,1.07461,1239
2023-01-10 12:00:00,1.07461,1.07461,1.0737700000000001,1.07441,1441
2023-01-10 12:15:00,1.07439,1.07452,1.07359,1.07376,833
2023-01-10 12:30:00,1.07376,1.07392,1.07354,1.07368,1062
2023-01-10 12:45:00,1.07368,1.07389,1.07342,1.07365,1000
2023-01-10 13:00:00,1.07365,1.07426,1.07322,1.07332,1033
2023-01-10 13:15:00,1.07333,1.07415,1.07319,1.07405,950
2023-01-10 13:30:00,1.07405,1.07405,1.07353,1.07365,1111
2023-01-10 13:45:00,1.07364,1.07393,1.07339,1.07352,981
2023-01-10 14:00:00,1.0735,1.07355,1.07263,1.07272,1259
2023-01-10 14:15:00,1.07272,1.07314,1.07226,1.073,1209
2023-01-10 14:30:00,1.073,1.07306,1.07157,1.07199,1392
2023-01-10 14:45:00,1.07197,1.07208,1.07154,1.0719400000000001,1474
2023-01-10 15:00:00,1.07195,1.07242,1.07173,1.07231,1456
2023-01-10 15:15:00,1.0723,1.07235,1.07178,1.0718,1390
2023-01-10 15:30:00,1.0718,1.07203,1.07121,1.0718,1533
2023-01-10 15:45:00,1.07179,1.07254,1.07167,1.07217,1437
2023-01-10 16:00:00,1.07219,1.0747,1.07216,1.07439,3884
2023-01-10 16:15:00,1.0744,1.07511,1.07393,1.07448,2349
2023-01-10 16:30:00,1.07444,1.07593,1.07383,1.07428,3560
